,Hong Kong,Istanbul,Lisbon,London,Los Angeles,Lyon
2020-03-02,0.52,1.24,1.2,1,1.07,0.82
2020-03-03,0.52,1.24,1.23,1.02,1.1,0.76
2020-03-04,0.5,1.17,1.28,1,1.08,0.75
2020-03-05,0.52,1.17,1.25,1.01,1.04,0.77
2020-03-06,0.54,1.27,1.23,0.99,1,0.8
2020-03-07,0.55,1.44,1.27,0.97,0.96,0.89
2020-03-08,0.53,1.41,1.18,0.94,0.98,0.94
2020-03-09,0.54,1.26,1.2,0.97,1.03,0.99
2020-03-10,0.55,1.15,1.14,0.97,0.92,0.99
2020-03-11,0.52,1.03,1.08,0.91,0.81,0.97
2020-03-12,0.54,0.98,0.85,0.84,0.71,0.89
2020-03-13,0.53,0.89,0.68,0.75,0.56,0.81
2020-03-14,0.56,0.73,0.62,0.75,0.5,0.75
2020-03-15,0.55,0.52,0.45,0.67,0.44,0.53
2020-03-16,0.54,0.49,0.35,0.6,0.39,0.36
2020-03-17,0.52,0.31,0.27,0.44,0.27,0.14
2020-03-18,0.48,0.2,0.24,0.36,0.23,0.06
2020-03-19,0.46,0.16,0.17,0.39,0.2,0.05
2020-03-20,0.44,0.14,0.13,0.31,0.19,0.05
2020-03-21,0.41,0.11,0.13,0.23,0.15,0.04
2020-03-22,0.42,0.11,0.11,0.23,0.13,0.04
2020-03-23,0.4,0.11,0.14,0.25,0.16,0.05
2020-03-24,0.38,0.1,0.12,0.15,0.12,0.05
2020-03-25,0.37,0.1,0.12,0.12,0.13,0.04
2020-03-26,0.36,0.1,0.1,0.1,0.12,0.04
2020-03-27,0.34,0.08,0.1,0.09,0.11,0.04
2020-03-28,0.29,0.07,0.12,0.08,0.1,0.04
2020-03-29,0.28,0.07,0.11,0.08,0.11,0.03
2020-03-30,0.32,0.09,0.11,0.1,0.12,0.04
2020-03-31,0.33,0.08,0.12,0.1,0.11,0.04
2020-04-01,0.33,0.08,0.1,0.09,0.11,0.04
2020-04-02,0.32,0.07,0.11,0.09,0.11,0.04
2020-04-03,0.32,0.06,0.1,0.08,0.1,0.04
2020-04-04,0.27,0.05,0.1,0.07,0.09,0.04
2020-04-05,0.26,0.05,0.08,0.09,0.1,0.03
2020-04-06,0.32,0.08,0.09,0.09,0.1,0.04
2020-04-07,0.36,0.08,0.11,0.09,0.08,0.04
2020-04-08,0.38,0.07,0.11,0.08,0.08,0.04
2020-04-09,0.44,0.07,0.09,0.08,0.07,0.04
2020-04-10,0.38,0.07,0.08,0.08,0.07,0.04
2020-04-11,0.31,0.05,0.08,0.07,0.08,0.04
2020-04-12,0.42,0.04,0.08,0.07,0.06,0.03
2020-04-13,0.42,0.08,0.09,0.08,0.11,0.03
2020-04-14,0.4,0.08,0.1,0.09,0.09,0.04
2020-04-15,0.41,0.09,0.11,0.09,0.08,0.04
2020-04-16,0.42,0.08,0.09,0.08,0.07,0.04
2020-04-17,0.42,0.08,0.09,0.08,0.08,0.04
2020-04-18,0.41,0.04,0.11,0.07,0.09,0.04
2020-04-19,0.41,0.05,0.1,0.09,0.07,0.04
2020-04-20,0.42,0.11,0.1,0.1,0.12,0.05
2020-04-21,0.41,0.1,0.11,0.09,0.09,0.05
2020-04-22,0.37,0.1,0.11,0.09,0.08,0.05
2020-04-23,0.39,0.05,0.1,0.09,0.1,0.05
2020-04-24,0.39,0.04,0.1,0.09,0.09,0.05
2020-04-25,0.4,0.04,0.12,0.08,0.08,0.05
2020-04-26,0.44,0.05,0.1,0.1,0.07,0.05
2020-04-27,0.48,0.11,0.11,0.1,0.11,0.06
2020-04-28,0.48,0.1,0.11,0.09,0.09,0.06
2020-04-29,0.55,0.1,0.1,0.09,0.09,0.05
2020-04-30,0.6,0.1,0.13,0.09,0.09,0.05
2020-05-01,0.51,0.05,0.1,0.09,0.08,0.04
2020-05-02,0.49,0.05,0.13,0.09,0.1,0.05
2020-05-03,0.49,0.06,0.14,0.1,0.1,0.06
2020-05-04,0.49,0.11,0.15,0.11,0.11,0.07
2020-05-05,0.49,0.13,0.15,0.11,0.09,0.07
2020-05-06,0.49,0.11,0.16,0.11,0.11,0.07
2020-05-07,0.51,0.12,0.17,0.11,0.1,0.07
2020-05-08,0.52,0.1,0.16,0.11,0.1,0.06
2020-05-09,0.51,0.05,0.15,0.11,0.1,0.07
2020-05-10,0.46,0.07,0.13,0.1,0.1,0.1
