No.,Time,Source,Destination,Protocol,,,
1,0,192.168.2.21,185.180.13.82,UDP,1,,192.168.2.21 [1] 185.180.13.82
2,3.1E-05,192.168.2.21,185.180.13.82,UDP,1,,192.168.2.21 [1] 185.180.13.82
3,3.5E-05,192.168.2.21,185.180.13.82,UDP,1,,192.168.2.21 [1] 185.180.13.82
4,3.8E-05,192.168.2.21,207.246.73.245,UDP,1,,192.168.2.21 [1] 207.246.73.245
5,4.1E-05,192.168.2.21,207.246.73.245,UDP,1,,192.168.2.21 [1] 207.246.73.245
6,4.4E-05,192.168.2.21,207.246.73.245,UDP,1,,192.168.2.21 [1] 207.246.73.245
7,6.5E-05,192.168.2.21,147.75.92.2,UDP,1,,192.168.2.21 [1] 147.75.92.2
8,6.9E-05,192.168.2.21,147.75.92.2,UDP,1,,192.168.2.21 [1] 147.75.92.2
9,7.1E-05,192.168.2.21,147.75.92.2,UDP,1,,192.168.2.21 [1] 147.75.92.2
10,7.4E-05,192.168.2.21,195.181.173.159,UDP,1,,192.168.2.21 [1] 195.181.173.159
11,7.6E-05,192.168.2.21,195.181.173.159,UDP,1,,192.168.2.21 [1] 195.181.173.159
12,7.9E-05,192.168.2.21,195.181.173.159,UDP,1,,192.168.2.21 [1] 195.181.173.159
13,8.3E-05,192.168.2.21,192.168.2.1,NAT-PMP,2,,192.168.2.21 [2] 192.168.2.1
14,0.045341,195.181.173.159,192.168.2.21,ICMP,3,,195.181.173.159 [3] 192.168.2.21
15,0.049365,195.181.173.159,192.168.2.21,ICMP,3,,195.181.173.159 [3] 192.168.2.21
16,0.049686,195.181.173.159,192.168.2.21,ICMP,3,,195.181.173.159 [3] 192.168.2.21
17,0.123404,207.246.73.245,192.168.2.21,ICMP,3,,207.246.73.245 [3] 192.168.2.21
18,0.123405,207.246.73.245,192.168.2.21,ICMP,3,,207.246.73.245 [3] 192.168.2.21
19,0.123406,207.246.73.245,192.168.2.21,ICMP,3,,207.246.73.245 [3] 192.168.2.21
20,0.165292,185.180.13.82,192.168.2.21,ICMP,3,,185.180.13.82 [3] 192.168.2.21
21,0.166212,185.180.13.82,192.168.2.21,ICMP,3,,185.180.13.82 [3] 192.168.2.21
22,0.166918,185.180.13.82,192.168.2.21,ICMP,3,,185.180.13.82 [3] 192.168.2.21
